Input,Output,Grid,Which,Index
6_1,8_8,"[[17, 36, 10, 16, 42, 11, 12, 37, 7, 5, 39, 3, 35, 2, 15, 1, 31, 44, 38, 45, 9, 25, 22, 40, 41, 43, 8, 51, 24, 48, 46, 49, 47, 0, 33, 29, 13, 27, 4, 6, 50, 30, 23, 21, 19, 32, 26, 14, 20, 28, 18, 34], [28, 21, 17, 10, 37, 7, 11, 39, 15, 2, 40, 1, 16, 3, 14, 35, 41, 31, 44, 38, 8, 22, 23, 12, 43, 46, 13, 49, 25, 0, 47, 48, 51, 4, 29, 34, 45, 30, 5, 9, 6, 33, 50, 19, 26, 27, 18, 36, 32, 42, 20, 24]]",c,34
6_2,0_1,"[[3, 1, 0, 11, 8, 10, 12, 5, 13, 4, 6, 9, 7, 2], [11, 4, 3, 2, 5, 12, 13, 0, 6, 8, 1, 7, 10, 9]]",r,2
6_2,6_3,"[[1, 12, 13, 10, 3, 14, 7, 4, 8, 18, 5, 0, 6, 17, 11, 2, 9, 15, 16], [3, 1, 12, 13, 7, 18, 17, 14, 2, 16, 6, 4, 11, 0, 8, 9, 10, 5, 15]]",r,8
6_2,7_2,"[[6, 15, 16, 13, 21, 1, 0, 18, 7, 2, 9, 14, 12, 8, 19, 17, 11, 20, 5, 4, 10, 3], [15, 16, 19, 14, 0, 13, 1, 2, 9, 4, 11, 10, 21, 7, 8, 18, 20, 17, 12, 3, 6, 5]]",c,20
6_2,7_4m,"[[3, 1, 0, 11, 8, 10, 12, 5, 13, 4, 6, 9, 7, 2], [11, 4, 3, 2, 5, 12, 13, 0, 6, 8, 1, 7, 10, 9]]",c,7
6_2,7_5,"[[10, 4, 8, 5, 3, 1, 2, 11, 15, 13, 0, 14, 9, 12, 6, 7], [5, 7, 11, 8, 4, 15, 10, 12, 6, 3, 14, 13, 2, 0, 9, 1]]",r,6
6_2,7_5m,"[[1, 17, 11, 18, 13, 9, 12, 3, 8, 2, 4, 6, 7, 5, 19, 10, 16, 15, 14, 0], [2, 1, 16, 19, 6, 0, 5, 18, 9, 8, 3, 12, 11, 17, 10, 7, 15, 14, 13, 4]]",r,10
6_2,7_6,"[[1, 12, 13, 10, 3, 14, 7, 4, 8, 18, 5, 0, 6, 17, 11, 2, 9, 15, 16], [3, 1, 12, 13, 7, 18, 17, 14, 2, 16, 6, 4, 11, 0, 8, 9, 10, 5, 15]]",r,4
6_2,7_7,"[[10, 11, 13, 9, 2, 1, 6, 7, 5, 17, 0, 8, 3, 4, 14, 12, 16, 15], [2, 10, 0, 8, 13, 14, 12, 5, 3, 6, 17, 7, 11, 1, 9, 16, 15, 4]]",r,13
6_2,8_8,"[[10, 4, 8, 5, 3, 1, 2, 11, 15, 13, 0, 14, 9, 12, 6, 7], [5, 7, 11, 8, 4, 15, 10, 12, 6, 3, 14, 13, 2, 0, 9, 1]]",r,13
6_2,8_10m,"[[1, 12, 13, 10, 3, 14, 7, 4, 8, 18, 5, 0, 6, 17, 11, 2, 9, 15, 16], [3, 1, 12, 13, 7, 18, 17, 14, 2, 16, 6, 4, 11, 0, 8, 9, 10, 5, 15]]",c,11
6_2,8_13,"[[13, 12, 2, 5, 6, 4, 0, 1, 10, 11, 14, 7, 3, 9, 8], [12, 10, 13, 1, 5, 3, 4, 7, 11, 6, 2, 0, 9, 8, 14]]",r,4
6_2,8_13m,"[[8, 2, 1, 5, 12, 15, 3, 13, 16, 10, 0, 11, 6, 7, 9, 14, 4], [1, 0, 4, 11, 10, 16, 5, 14, 6, 2, 13, 15, 12, 8, 7, 9, 3]]",c,9
6_2,8_15m,"[[18, 20, 9, 11, 8, 1, 21, 6, 2, 5, 3, 13, 19, 17, 7, 15, 4, 16, 14, 12, 10, 0], [11, 0, 13, 21, 20, 17, 3, 7, 1, 9, 5, 19, 16, 4, 8, 14, 6, 15, 12, 10, 2, 18]]",r,7
6_2,8_16m,"[[10, 6, 3, 17, 5, 2, 11, 13, 15, 12, 4, 14, 9, 1, 0, 16, 8, 7], [12, 9, 5, 8, 6, 13, 16, 11, 17, 7, 14, 15, 4, 3, 1, 0, 10, 2]]",c,10
6_2,8_20,"[[1, 12, 13, 10, 3, 14, 7, 4, 8, 18, 5, 0, 6, 17, 11, 2, 9, 15, 16], [3, 1, 12, 13, 7, 18, 17, 14, 2, 16, 6, 4, 11, 0, 8, 9, 10, 5, 15]]",r,9
6_2,3_1m#5_2,"[[16, 15, 0, 8, 12, 14, 1, 4, 2, 3, 9, 10, 13, 17, 11, 7, 6, 5], [15, 0, 7, 10, 14, 1, 9, 11, 5, 4, 3, 16, 12, 13, 2, 17, 8, 6]]",c,1
6_2,8_12,"[[19, 26, 29, 7, 9, 32, 22, 18, 27, 4, 39, 8, 34, 5, 40, 36, 17, 2, 41, 10, 12, 11, 38, 23, 14, 13, 33, 6, 1, 37, 21, 3, 35, 20, 0, 30, 15, 31, 28, 25, 24, 16], [18, 6, 26, 12, 7, 24, 16, 29, 39, 32, 34, 4, 33, 2, 8, 22, 36, 40, 9, 5, 11, 17, 41, 13, 38, 14, 37, 30, 3, 0, 23, 35, 15, 10, 1, 21, 19, 25, 31, 27, 28, 20]]",c,6
6_3,7_1,"[[5, 18, 6, 47, 37, 15, 56, 1, 61, 59, 13, 14, 60, 34, 38, 39, 3, 30, 33, 42, 44, 55, 46, 35, 36, 17, 57, 31, 32, 40, 9, 58, 12, 8, 4, 23, 25, 22, 20, 21, 45, 27, 2, 48, 54, 49, 24, 16, 41, 26, 19, 43, 50, 53, 52, 29, 0, 51, 28, 7, 10, 11], [6, 15, 7, 56, 38, 5, 1, 61, 59, 3, 60, 13, 58, 35, 39, 42, 18, 37, 30, 40, 34, 44, 41, 36, 33, 14, 46, 32, 28, 23, 12, 57, 2, 17, 8, 22, 24, 20, 21, 25, 48, 45, 4, 9, 47, 54, 49, 26, 16, 19, 0, 27, 55, 50, 53, 31, 29, 52, 51, 10, 11, 43]]",r,26
6_3,7_6,"[[44, 33, 24, 14, 31, 28, 38, 52, 54, 0, 1, 26, 3, 27, 2, 11, 53, 6, 34, 39, 4, 5, 41, 40, 47, 51, 10, 50, 37, 20, 17, 46, 45, 29, 36, 32, 42, 19, 35, 15, 18, 43, 7, 9, 25, 16, 12, 13, 48, 49, 8, 23, 21, 22, 30], [0, 24, 27, 16, 33, 54, 2, 9, 52, 6, 41, 25, 1, 34, 3, 26, 50, 28, 38, 47, 37, 4, 39, 12, 53, 5, 45, 51, 40, 11, 19, 32, 46, 30, 35, 36, 29, 21, 43, 18, 17, 42, 15, 7, 10, 8, 14, 49, 44, 48, 13, 20, 22, 23, 31]]",c,41
6_3,7_7,"[[44, 33, 24, 14, 31, 28, 38, 52, 54, 0, 1, 26, 3, 27, 2, 11, 53, 6, 34, 39, 4, 5, 41, 40, 47, 51, 10, 50, 37, 20, 17, 46, 45, 29, 36, 32, 42, 19, 35, 15, 18, 43, 7, 9, 25, 16, 12, 13, 48, 49, 8, 23, 21, 22, 30], [0, 24, 27, 16, 33, 54, 2, 9, 52, 6, 41, 25, 1, 34, 3, 26, 50, 28, 38, 47, 37, 4, 39, 12, 53, 5, 45, 51, 40, 11, 19, 32, 46, 30, 35, 36, 29, 21, 43, 18, 17, 42, 15, 7, 10, 8, 14, 49, 44, 48, 13, 20, 22, 23, 31]]",r,3
6_3,8_4,"[[23, 24, 11, 20, 12, 22, 9, 37, 2, 30, 0, 8, 33, 38, 40, 14, 32, 4, 26, 16, 25, 36, 29, 39, 35, 5, 21, 28, 27, 18, 31, 6, 3, 17, 10, 1, 19, 34, 13, 15, 7], [24, 1, 7, 22, 13, 23, 8, 25, 37, 28, 2, 0, 38, 39, 4, 16, 36, 5, 29, 20, 17, 33, 32, 31, 34, 18, 15, 27, 35, 21, 3, 10, 40, 11, 9, 26, 30, 6, 19, 12, 14]]",r,15
6_3,8_14,"[[4, 30, 7, 46, 16, 17, 12, 35, 15, 33, 14, 2, 21, 5, 10, 39, 34, 32, 1, 29, 19, 47, 22, 44, 6, 9, 40, 50, 25, 11, 31, 0, 23, 18, 27, 13, 36, 24, 41, 42, 49, 48, 26, 28, 3, 37, 20, 45, 38, 8, 43], [7, 25, 8, 17, 15, 18, 16, 30, 20, 14, 21, 1, 19, 4, 5, 32, 47, 34, 49, 33, 22, 29, 6, 50, 2, 12, 44, 46, 36, 39, 37, 40, 24, 13, 42, 23, 31, 26, 11, 43, 48, 10, 28, 27, 0, 38, 35, 41, 45, 3, 9]]",r,3
6_3,8_15,"[[10, 11, 30, 24, 23, 2, 32, 5, 22, 26, 9, 35, 1, 14, 34, 27, 7, 20, 12, 19, 3, 0, 16, 8, 6, 37, 4, 13, 33, 18, 15, 17, 21, 36, 25, 28, 31, 29], [23, 10, 28, 1, 22, 5, 37, 9, 26, 32, 14, 27, 11, 33, 35, 20, 6, 21, 34, 16, 0, 2, 3, 7, 4, 8, 18, 36, 13, 15, 17, 12, 19, 25, 30, 29, 24, 31]]",r,15
6_3,8_17,"[[52, 5, 42, 30, 31, 27, 9, 25, 46, 32, 12, 11, 35, 34, 38, 37, 19, 39, 29, 26, 33, 3, 40, 2, 50, 51, 55, 17, 48, 41, 23, 0, 22, 20, 36, 4, 21, 18, 10, 28, 7, 44, 15, 13, 16, 47, 49, 24, 45, 14, 54, 1, 53, 6, 43, 8], [54, 4, 52, 27, 32, 46, 31, 3, 42, 34, 19, 12, 37, 35, 36, 38, 29, 21, 26, 39, 41, 2, 44, 53, 51, 33, 48, 16, 50, 40, 25, 55, 20, 23, 22, 28, 8, 17, 18, 0, 5, 24, 30, 7, 14, 45, 11, 10, 49, 15, 1, 47, 43, 9, 13, 6]]",r,31
6_3,8_21,"[[3, 6, 8, 12, 15, 1, 9, 20, 32, 35, 34, 30, 33, 16, 27, 19, 28, 29, 21, 17, 31, 14, 25, 36, 13, 2, 26, 0, 37, 10, 22, 5, 39, 4, 38, 7, 23, 24, 11, 18], [7, 2, 15, 34, 12, 6, 1, 35, 33, 32, 37, 29, 27, 13, 31, 21, 25, 39, 22, 14, 30, 28, 20, 16, 17, 26, 24, 9, 10, 5, 0, 3, 11, 23, 36, 4, 18, 38, 8, 19]]",c,12
7_1,0_1,"[[53, 16, 1, 55, 50, 19, 13, 0, 11, 6, 3, 17, 4, 26, 52, 29, 31, 12, 51, 44, 30, 18, 14, 45, 54, 28, 49, 43, 20, 32, 5, 35, 23, 2, 36, 34, 41, 42, 10, 33, 40, 39, 47, 9, 48, 46, 27, 25, 8, 21, 38, 37, 24, 15, 22, 7], [15, 39, 11, 2, 33, 55, 19, 12, 4, 0, 6, 25, 3, 31, 48, 27, 29, 36, 17, 49, 26, 30, 18, 44, 52, 32, 54, 13, 14, 23, 45, 34, 20, 5, 35, 28, 43, 41, 9, 40, 10, 42, 46, 1, 47, 51, 38, 24, 22, 7, 37, 53, 21, 16, 50, 8]]",r,2
7_1,7_5m,"[[53, 16, 1, 55, 50, 19, 13, 0, 11, 6, 3, 17, 4, 26, 52, 29, 31, 12, 51, 44, 30, 18, 14, 45, 54, 28, 49, 43, 20, 32, 5, 35, 23, 2, 36, 34, 41, 42, 10, 33, 40, 39, 47, 9, 48, 46, 27, 25, 8, 21, 38, 37, 24, 15, 22, 7], [15, 39, 11, 2, 33, 55, 19, 12, 4, 0, 6, 25, 3, 31, 48, 27, 29, 36, 17, 49, 26, 30, 18, 44, 52, 32, 54, 13, 14, 23, 45, 34, 20, 5, 35, 28, 43, 41, 9, 40, 10, 42, 46, 1, 47, 51, 38, 24, 22, 7, 37, 53, 21, 16, 50, 8]]",r,29
7_1,7_7m,"[[24, 10, 3, 15, 39, 38, 11, 5, 27, 4, 0, 31, 40, 2, 34, 7, 14, 18, 25, 35, 13, 12, 37, 1, 28, 8, 26, 32, 33, 36, 29, 20, 9, 6, 21, 23, 22, 19, 16, 30, 17], [28, 11, 7, 27, 0, 39, 16, 23, 1, 38, 31, 34, 35, 18, 40, 5, 10, 19, 20, 14, 17, 13, 29, 6, 4, 12, 37, 36, 30, 33, 25, 32, 26, 8, 2, 22, 24, 9, 15, 3, 21]]",r,37
7_1,8_1m,"[[53, 16, 1, 55, 50, 19, 13, 0, 11, 6, 3, 17, 4, 26, 52, 29, 31, 12, 51, 44, 30, 18, 14, 45, 54, 28, 49, 43, 20, 32, 5, 35, 23, 2, 36, 34, 41, 42, 10, 33, 40, 39, 47, 9, 48, 46, 27, 25, 8, 21, 38, 37, 24, 15, 22, 7], [15, 39, 11, 2, 33, 55, 19, 12, 4, 0, 6, 25, 3, 31, 48, 27, 29, 36, 17, 49, 26, 30, 18, 44, 52, 32, 54, 13, 14, 23, 45, 34, 20, 5, 35, 28, 43, 41, 9, 40, 10, 42, 46, 1, 47, 51, 38, 24, 22, 7, 37, 53, 21, 16, 50, 8]]",r,6
7_1,8_2,"[[16, 17, 40, 25, 10, 4, 21, 65, 57, 59, 58, 60, 62, 8, 6, 13, 44, 67, 0, 11, 3, 15, 46, 23, 51, 7, 66, 49, 54, 50, 27, 5, 12, 63, 53, 41, 52, 1, 47, 48, 26, 55, 64, 24, 14, 32, 33, 28, 45, 34, 29, 42, 30, 38, 43, 36, 31, 39, 37, 18, 35, 20, 2, 9, 22, 56, 19, 61], [17, 10, 57, 16, 9, 21, 25, 44, 61, 62, 59, 58, 63, 6, 11, 67, 60, 0, 2, 7, 46, 13, 53, 22, 23, 15, 49, 51, 50, 52, 12, 3, 8, 5, 48, 45, 26, 66, 1, 47, 41, 64, 54, 14, 28, 33, 34, 32, 42, 29, 30, 43, 31, 27, 65, 38, 35, 37, 36, 4, 39, 19, 40, 24, 20, 55, 18, 56]]",c,0
7_1,8_4m,"[[22, 11, 42, 9, 19, 21, 15, 27, 5, 13, 18, 16, 14, 34, 26, 30, 31, 36, 8, 25, 7, 6, 23, 24, 28, 17, 10, 40, 1, 4, 0, 39, 2, 37, 12, 44, 29, 33, 43, 3, 35, 38, 41, 32, 20], [42, 18, 5, 39, 7, 20, 16, 22, 38, 15, 31, 11, 13, 33, 23, 36, 30, 34, 10, 19, 6, 32, 28, 8, 25, 14, 17, 43, 24, 2, 4, 37, 1, 44, 21, 40, 26, 35, 29, 9, 12, 41, 0, 27, 3]]",r,0
7_1,8_11,"[[6, 17, 42, 47, 9, 0, 28, 33, 21, 31, 43, 39, 20, 35, 25, 32, 36, 29, 34, 22, 37, 41, 19, 38, 24, 23, 14, 44, 40, 16, 8, 27, 18, 13, 1, 2, 10, 15, 3, 7, 51, 49, 26, 50, 48, 11, 4, 5, 46, 30, 45, 12], [39, 19, 9, 45, 12, 47, 22, 31, 20, 21, 11, 43, 32, 25, 36, 35, 34, 28, 37, 5, 29, 38, 14, 26, 41, 24, 16, 42, 44, 2, 48, 23, 27, 15, 51, 10, 8, 18, 4, 1, 50, 46, 40, 49, 30, 3, 7, 6, 0, 33, 13, 17]]",r,5
7_2,0_1,"[[2, 1, 3, 4, 22, 6, 14, 11, 13, 20, 19, 15, 18, 16, 0, 7, 23, 5, 24, 17, 10, 9, 21, 8, 12], [21, 3, 5, 1, 4, 11, 10, 18, 14, 15, 16, 13, 20, 7, 24, 0, 19, 23, 6, 2, 9, 8, 22, 12, 17]]",c,20
7_2,8_1,"[[2, 1, 3, 4, 22, 6, 14, 11, 13, 20, 19, 15, 18, 16, 0, 7, 23, 5, 24, 17, 10, 9, 21, 8, 12], [21, 3, 5, 1, 4, 11, 10, 18, 14, 15, 16, 13, 20, 7, 24, 0, 19, 23, 6, 2, 9, 8, 22, 12, 17]]",r,15
7_2,8_6m,"[[9, 1, 11, 8, 4, 2, 3, 7, 6, 10, 5, 0], [6, 2, 7, 1, 9, 5, 4, 3, 10, 0, 11, 8]]",r,0
7_2,8_2m,"[[6, 3, 32, 46, 28, 14, 10, 15, 34, 49, 1, 50, 16, 11, 9, 8, 12, 22, 13, 25, 24, 0, 21, 20, 36, 18, 39, 17, 23, 33, 29, 26, 30, 43, 31, 35, 5, 4, 27, 47, 48, 19, 45, 37, 38, 44, 2, 41, 40, 7, 42], [46, 2, 28, 47, 49, 7, 6, 34, 26, 23, 50, 0, 20, 15, 10, 12, 13, 16, 9, 22, 25, 11, 18, 21, 39, 8, 17, 19, 27, 36, 33, 24, 35, 48, 30, 37, 4, 43, 31, 45, 3, 14, 29, 38, 44, 40, 1, 42, 41, 32, 5]]",c,22
7_2,8_7,"[[10, 3, 2, 6, 4, 14, 1, 12, 11, 8, 5, 15, 9, 0, 13, 7, 16], [11, 0, 5, 3, 14, 1, 10, 9, 8, 7, 4, 16, 15, 12, 2, 6, 13]]",c,14
7_2,8_8m,"[[12, 20, 17, 18, 16, 3, 23, 11, 13, 22, 21, 9, 10, 1, 4, 19, 24, 2, 25, 6, 0, 8, 5, 15, 7, 14], [10, 22, 21, 17, 18, 16, 14, 3, 11, 23, 0, 6, 9, 25, 19, 20, 2, 5, 24, 8, 4, 1, 7, 13, 15, 12]]",c,15
7_2,3_1m#4_1,"[[5, 3, 1, 11, 2, 6, 4, 10, 9, 13, 12, 8, 7, 0, 14], [2, 1, 0, 5, 4, 3, 7, 13, 8, 6, 9, 14, 12, 11, 10]]",c,5
7_2,8_11,"[[30, 39, 9, 14, 52, 32, 27, 7, 19, 40, 25, 13, 21, 20, 24, 15, 17, 44, 8, 48, 47, 50, 51, 1, 0, 4, 6, 12, 16, 29, 46, 36, 22, 49, 33, 34, 23, 2, 28, 26, 3, 43, 45, 31, 38, 37, 42, 41, 54, 10, 11, 5, 55, 35, 18, 53], [32, 35, 52, 7, 5, 27, 24, 13, 25, 20, 40, 18, 17, 21, 23, 9, 15, 16, 29, 49, 48, 47, 50, 0, 2, 1, 4, 6, 8, 38, 22, 37, 36, 46, 34, 44, 28, 45, 33, 30, 51, 10, 43, 26, 41, 12, 39, 42, 53, 11, 31, 55, 54, 14, 19, 3]]",r,39
7_2,8_14m,"[[29, 10, 50, 28, 39, 6, 7, 8, 33, 49, 37, 1, 9, 53, 40, 0, 4, 47, 44, 3, 34, 46, 51, 52, 32, 22, 13, 18, 21, 2, 38, 42, 36, 14, 48, 17, 11, 5, 43, 35, 16, 27, 23, 15, 24, 19, 20, 26, 30, 31, 25, 45, 12, 41], [31, 7, 51, 53, 37, 5, 6, 9, 39, 46, 40, 8, 25, 49, 41, 4, 1, 52, 2, 0, 30, 47, 3, 32, 34, 23, 42, 13, 22, 18, 43, 36, 38, 17, 44, 16, 14, 11, 50, 48, 27, 29, 35, 20, 21, 10, 19, 28, 33, 26, 12, 24, 15, 45]]",r,34
7_3,0_1,"[[0, 1, 3, 14, 13, 11, 4, 12, 10, 17, 9, 18, 16, 15, 19, 21, 20, 22, 2, 6, 7, 8, 5], [3, 14, 4, 13, 15, 18, 5, 19, 12, 22, 10, 16, 17, 9, 21, 20, 0, 6, 11, 1, 8, 2, 7]]",r,13
7_3,7_3m,"[[64, 29, 51, 73, 47, 38, 56, 39, 48, 43, 45, 68, 49, 41, 34, 37, 53, 40, 44, 42, 52, 5, 3, 4, 66, 46, 28, 75, 36, 35, 76, 1, 72, 10, 7, 6, 78, 63, 26, 21, 0, 69, 70, 2, 71, 74, 67, 9, 8, 20, 16, 17, 18, 62, 65, 13, 11, 77, 25, 27, 19, 15, 14, 24, 58, 61, 23, 22, 33, 50, 30, 12, 57, 31, 59, 54, 32, 55, 60], [57, 59, 73, 68, 39, 34, 52, 31, 56, 45, 49, 67, 41, 37, 29, 48, 44, 36, 42, 43, 28, 3, 2, 5, 53, 40, 9, 72, 35, 58, 19, 78, 63, 1, 10, 7, 77, 0, 21, 22, 76, 75, 69, 6, 70, 71, 74, 4, 26, 8, 13, 18, 16, 25, 62, 11, 20, 17, 27, 15, 65, 12, 38, 46, 50, 60, 61, 23, 30, 66, 47, 14, 55, 24, 32, 51, 33, 54, 64]]",r,5
7_3,8_6m,"[[4, 13, 6, 10, 12, 7, 8, 9, 14, 3, 1, 2, 0, 5, 11], [11, 14, 12, 13, 9, 10, 7, 1, 3, 2, 4, 6, 5, 8, 0]]",r,9
7_3,8_7m,"[[0, 1, 3, 14, 13, 11, 4, 12, 10, 17, 9, 18, 16, 15, 19, 21, 20, 22, 2, 6, 7, 8, 5], [3, 14, 4, 13, 15, 18, 5, 19, 12, 22, 10, 16, 17, 9, 21, 20, 0, 6, 11, 1, 8, 2, 7]]",r,5
7_3,8_11,"[[8, 9, 1, 5, 6, 10, 11, 13, 15, 0, 3, 2, 7, 12, 14, 4], [10, 1, 6, 8, 11, 14, 13, 2, 12, 3, 7, 15, 4, 5, 0, 9]]",r,14
7_3,8_19,"[[14, 15, 5, 8, 9, 13, 12, 4, 0, 1, 3, 11, 2, 6, 10, 7], [0, 7, 14, 9, 1, 4, 13, 2, 3, 5, 6, 8, 15, 10, 12, 11]]",r,11
7_3,8_3,"[[44, 36, 51, 42, 49, 16, 43, 40, 37, 29, 4, 7, 6, 8, 23, 27, 26, 47, 25, 48, 10, 34, 11, 14, 24, 30, 41, 9, 15, 13, 21, 12, 18, 5, 3, 55, 56, 22, 53, 52, 50, 0, 20, 1, 2, 28, 17, 19, 54, 33, 31, 38, 32, 45, 39, 35, 46], [36, 31, 42, 46, 51, 40, 45, 37, 43, 27, 7, 6, 49, 9, 29, 22, 23, 34, 30, 8, 11, 41, 12, 10, 25, 21, 24, 14, 3, 1, 18, 13, 19, 50, 5, 48, 0, 55, 56, 53, 52, 54, 28, 2, 47, 17, 16, 4, 20, 32, 33, 26, 35, 44, 38, 39, 15]]",r,4
7_3,8_9,"[[44, 36, 51, 42, 49, 16, 43, 40, 37, 29, 4, 7, 6, 8, 23, 27, 26, 47, 25, 48, 10, 34, 11, 14, 24, 30, 41, 9, 15, 13, 21, 12, 18, 5, 3, 55, 56, 22, 53, 52, 50, 0, 20, 1, 2, 28, 17, 19, 54, 33, 31, 38, 32, 45, 39, 35, 46], [36, 31, 42, 46, 51, 40, 45, 37, 43, 27, 7, 6, 49, 9, 29, 22, 23, 34, 30, 8, 11, 41, 12, 10, 25, 21, 24, 14, 3, 1, 18, 13, 19, 50, 5, 48, 0, 55, 56, 53, 52, 54, 28, 2, 47, 17, 16, 4, 20, 32, 33, 26, 35, 44, 38, 39, 15]]",r,35
7_3,8_19m,"[[3, 18, 17, 44, 11, 55, 51, 53, 47, 40, 14, 12, 10, 20, 41, 43, 30, 32, 28, 27, 2, 7, 57, 49, 48, 39, 31, 36, 0, 5, 34, 23, 42, 33, 24, 25, 50, 1, 52, 26, 54, 35, 29, 19, 45, 46, 4, 38, 58, 37, 21, 22, 6, 15, 16, 8, 9, 13, 56], [11, 17, 14, 55, 18, 20, 53, 8, 40, 41, 10, 58, 12, 51, 42, 26, 31, 13, 27, 30, 57, 5, 0, 50, 49, 48, 39, 28, 7, 34, 36, 24, 38, 35, 25, 33, 52, 45, 43, 23, 32, 47, 4, 29, 46, 19, 6, 37, 1, 56, 44, 15, 54, 16, 21, 9, 2, 22, 3]]",c,4
7_4,0_1,"[[5, 13, 6, 14, 16, 17, 1, 10, 0, 7, 15, 2, 12, 11, 3, 8, 9, 4], [16, 4, 7, 12, 17, 9, 5, 13, 15, 2, 1, 14, 8, 10, 11, 0, 3, 6]]",r,1
7_4,7_7m,"[[16, 1, 4, 13, 14, 15, 10, 7, 8, 2, 11, 3, 5, 17, 6, 0, 9, 12], [15, 6, 16, 17, 12, 11, 14, 8, 9, 5, 1, 10, 7, 2, 3, 4, 0, 13]]",r,16
7_4,8_4,"[[5, 13, 6, 14, 16, 17, 1, 10, 0, 7, 15, 2, 12, 11, 3, 8, 9, 4], [16, 4, 7, 12, 17, 9, 5, 13, 15, 2, 1, 14, 8, 10, 11, 0, 3, 6]]",r,9
7_4,8_5m,"[[5, 13, 6, 14, 16, 17, 1, 10, 0, 7, 15, 2, 12, 11, 3, 8, 9, 4], [16, 4, 7, 12, 17, 9, 5, 13, 15, 2, 1, 14, 8, 10, 11, 0, 3, 6]]",r,16
7_4,8_13m,"[[4, 9, 7, 13, 8, 15, 18, 19, 11, 17, 3, 1, 12, 14, 5, 10, 16, 6, 2, 0], [14, 1, 8, 15, 5, 2, 12, 16, 13, 19, 17, 3, 6, 11, 9, 4, 18, 10, 0, 7]]",r,2
7_4,8_16,"[[10, 15, 0, 1, 13, 14, 4, 11, 12, 7, 9, 8, 6, 3, 5, 2], [4, 1, 2, 0, 15, 6, 12, 13, 8, 9, 11, 5, 7, 10, 14, 3]]",c,9
7_4,3_1#3_1,"[[2, 10, 8, 3, 13, 5, 1, 12, 9, 4, 0, 6, 14, 7, 11], [5, 11, 4, 1, 2, 6, 7, 9, 10, 12, 3, 8, 13, 14, 0]]",r,4
7_4,3_1m#3_1m,"[[34, 16, 19, 6, 9, 11, 26, 22, 23, 27, 2, 18, 15, 20, 4, 8, 24, 21, 36, 37, 17, 7, 0, 42, 1, 3, 28, 5, 39, 12, 31, 29, 13, 32, 35, 30, 10, 38, 25, 33, 41, 14, 40], [28, 15, 22, 2, 12, 40, 27, 23, 25, 36, 4, 19, 7, 24, 3, 10, 8, 6, 37, 20, 13, 21, 42, 38, 17, 5, 31, 0, 35, 16, 29, 32, 11, 39, 18, 1, 14, 41, 26, 30, 33, 9, 34]]",r,11
7_4,3_1m#3_1m,"[[5, 13, 6, 14, 16, 17, 1, 10, 0, 7, 15, 2, 12, 11, 3, 8, 9, 4], [16, 4, 7, 12, 17, 9, 5, 13, 15, 2, 1, 14, 8, 10, 11, 0, 3, 6]]",r,3
7_5,3_1,"[[13, 6, 2, 5, 12, 10, 0, 8, 7, 1, 3, 15, 4, 9, 11, 14], [0, 15, 4, 10, 8, 7, 2, 6, 1, 14, 5, 13, 3, 12, 9, 11]]",r,5
7_5,8_6,"[[13, 6, 2, 5, 12, 10, 0, 8, 7, 1, 3, 15, 4, 9, 11, 14], [0, 15, 4, 10, 8, 7, 2, 6, 1, 14, 5, 13, 3, 12, 9, 11]]",r,1
7_5,8_10m,"[[4, 0, 7, 15, 11, 10, 17, 5, 13, 16, 3, 14, 6, 1, 2, 12, 8, 9], [15, 11, 4, 10, 9, 16, 2, 13, 0, 17, 14, 12, 5, 6, 1, 7, 3, 8]]",c,14
7_5,8_11m,"[[13, 7, 10, 4, 12, 14, 8, 9, 11, 3, 2, 1, 0, 6, 5], [12, 11, 7, 6, 14, 5, 1, 8, 9, 0, 13, 3, 4, 2, 10]]",r,3
7_5,8_12,"[[11, 10, 1, 0, 12, 6, 9, 5, 7, 4, 3, 14, 2, 15, 8, 13], [14, 12, 13, 9, 7, 5, 3, 2, 6, 11, 4, 8, 15, 1, 10, 0]]",c,9
7_5,8_13,"[[11, 10, 1, 0, 12, 6, 9, 5, 7, 4, 3, 14, 2, 15, 8, 13], [14, 12, 13, 9, 7, 5, 3, 2, 6, 11, 4, 8, 15, 1, 10, 0]]",r,11
7_5,8_14,"[[13, 18, 11, 7, 16, 15, 8, 14, 3, 2, 4, 1, 0, 12, 6, 5, 9, 17, 10], [7, 14, 4, 18, 1, 12, 15, 0, 8, 16, 2, 9, 6, 17, 5, 3, 13, 10, 11]]",r,0
7_5,8_17,"[[16, 2, 14, 11, 15, 8, 5, 4, 13, 10, 12, 9, 7, 6, 3, 0, 1], [5, 10, 15, 4, 16, 2, 12, 7, 8, 6, 11, 1, 9, 3, 0, 14, 13]]",r,10
7_5,8_10,"[[23, 33, 30, 1, 0, 20, 35, 26, 4, 28, 36, 19, 27, 12, 16, 17, 8, 22, 18, 7, 5, 3, 9, 14, 10, 31, 34, 21, 24, 25, 15, 6, 11, 13, 2, 29, 32], [26, 32, 29, 33, 1, 30, 31, 22, 36, 8, 35, 12, 28, 13, 15, 16, 14, 18, 17, 9, 7, 19, 0, 3, 4, 34, 11, 24, 25, 20, 10, 2, 6, 5, 21, 27, 23]]",c,2
